produto;instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
CDB;RCI BRASIL S/A;R$ 15.000,00;34,61%;R$ 20.191,22;Sem Rating;1104 dias;;107,0% CDI;LCI/LCA 90.95% CDI
LF;BANCO XP;R$ 50.000,00;34,34%;R$ 67.170,02;AA FITCH;1095 dias;No ;107,0% CDI;LCI/LCA 90.95% CDI
LF;BANCO XP;R$ 50.000,00;48,69%;R$ 74.345,70;AA FITCH;1460 dias;No ;107,0% CDI;LCI/LCA 90.95% CDI
LF;BANCO PAN;R$ 50.000,00;63,30%;R$ 81.648,50;AAA S&P;1800 dias;;107,0% CDI;LCI/LCA 90.95% CDI
LF;BANCO XP;R$ 50.000,00;64,30%;R$ 82.149,40;AA FITCH;1825 dias;No ;107,0% CDI;LCI/LCA 90.95% CDI
LF;BANCO XP;R$ 56.346,31;48,33%;R$ 83.579,52;Sem Rating;1451 dias;No ;107,0% CDI;LCI/LCA 90.95% CDI
LF;BANCO XP;R$ 56.396,79;48,21%;R$ 83.586,93;AA FITCH;1449 dias;No ;107,0% CDI;LCI/LCA 90.95% CDI
LF;BANCO XP;R$ 57.688,20;46,43%;R$ 84.473,12;Sem Rating;1407 dias;No ;107,0% CDI;LCI/LCA 90.95% CDI
LF;BANCO XP;R$ 57.739,97;46,31%;R$ 84.480,83;AA FITCH;1405 dias;No ;107,0% CDI;LCI/LCA 90.95% CDI
CDB;BANCO BMG;R$ 100,00;21,71%;R$ 121,71;B+ FITCH;731 dias;No ;11,97%PRÉ;LCI/LCA 10.17% PRÉ
LF;BANCO BTG PACTUAL;R$ 50.000,00;124,63%;R$ 112.314,89;AAA S&P;2923 dias;;11,97%PRÉ;LCI/LCA 10.17% PRÉ
LF;BANCO BTG PACTUAL;R$ 50.000,00;124,63%;R$ 112.314,89;AAA S&P;2923 dias;;11,97%PRÉ;LCI/LCA 10.17% PRÉ
LF;BANCO BTG PACTUAL;R$ 50.000,00;124,63%;R$ 112.314,89;AAA S&P;2923 dias;;11,97%PRÉ;LCI/LCA 10.17% PRÉ
CDB;BANCO BV;R$ 1.000,00;6,96%;R$ 1.069,59;AA MOODYS;269 dias;;102,55% CDI;LCI/LCA 82.04% CDI
CDB;MERCADO LIVRE;R$ 1.000,00;9,49%;R$ 1.094,86;AAA FITCH;360 dias;;102,5% CDI;LCI/LCA 82.0% CDI
CDB;BANCO CARREFOUR;R$ 1.000,00;9,91%;R$ 1.099,07;Sem Rating;365 dias;;102,5% CDI;LCI/LCA 84.56% CDI
CDB;BANCO OMNI;R$ 1.000,00;33,76%;R$ 1.337,57;A S&P;1083 dias;;11,96%PRÉ;LCI/LCA 10.17% PRÉ
CDB;PARANA BANCO;R$ 1.000,00;47,48%;R$ 1.474,75;AA+ S&P;1438 dias;;102,5% CDI;LCI/LCA 87.12% CDI
CDB;BANCO BMG;R$ 1.000,00;48,62%;R$ 1.486,18;B+ FITCH;1463 dias;;11,96%PRÉ;LCI/LCA 10.17% PRÉ
CDB;MERCADO LIVRE;R$ 5.000,00;4,32%;R$ 5.215,97;AAA FITCH;178 dias;;102,5% CDI;LCI/LCA 79.44% CDI
Banco C6;CDB;;;;;;;;11,95%PRÉ
CDB;BANCO BMG;R$ 100,00;177,35%;R$ 277,35;B+ FITCH;3653 dias;No ;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO VOITER;R$ 1.000,00;20,62%;R$ 1.206,18;Sem Rating;720 dias;;11,95%PRÉ;LCI/LCA 9.86% PRÉ
CDB;FACTA FINANCEIRA;R$ 1.000,00;34,26%;R$ 1.342,59;Sem Rating;1095 dias;No ;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO OMNI;R$ 1.000,00;34,26%;R$ 1.342,59;A S&P;1095 dias;No ;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO BTG PACTUAL;R$ 1.000,00;48,49%;R$ 1.484,90;AAA S&P;1462 dias;;106,75% CDI;LCI/LCA 90.74% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;48,49%;R$ 1.484,90;AAA S&P;1462 dias;;106,75% CDI;LCI/LCA 90.74% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;48,49%;R$ 1.484,90;AAA S&P;1462 dias;;106,75% CDI;LCI/LCA 90.74% CDI
CDB;BANCO C6 CONSIGNADO S.A.;R$ 1.000,00;64,13%;R$ 1.641,31;Sem Rating;1825 dias;No ;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO PINE;R$ 1.000,00;81,88%;R$ 1.818,77;BB+ FITCH;2189 dias;;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO PINE;R$ 1.000,00;81,95%;R$ 1.819,52;BB+ FITCH;2190 dias;;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO PINE;R$ 1.000,00;82,03%;R$ 1.820,26;Sem Rating;2191 dias;;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO FIBRA;R$ 1.000,00;124,24%;R$ 2.242,37;B+ FITCH;2920 dias;;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO FIBRA;R$ 10.000,00;80,39%;R$ 18.038,86;BBB+ FITCH;2161 dias;;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CDB;BANCO FIBRA;R$ 10.000,00;101,82%;R$ 20.181,87;B+ FITCH;2555 dias;;11,95%PRÉ;LCI/LCA 10.16% PRÉ
LF;BANCO DAYCOVAL;R$ 50.000,00;101,99%;R$ 100.993,08;AA FITCH;2558 dias;;11,95%PRÉ;LCI/LCA 10.16% PRÉ
CRI;BROOKFIELD;R$ 1.046,24;44,99%;R$ 1.516,91;Sem Rating;1204 dias;;CDI + 0,71%;CDB CDI + 0.84%
CRI;BROOKFIELD;R$ 1.046,24;44,99%;R$ 1.516,91;Sem Rating;1204 dias;;CDI + 0,71%;CDB CDI + 0.84%
CRI;BROOKFIELD;R$ 1.046,24;44,99%;R$ 1.516,91;Sem Rating;1204 dias;;CDI + 0,71%;CDB CDI + 0.84%
CDB;BANCO PAN;R$ 1.000,00;4,49%;R$ 1.044,85;AAA S&P;181 dias;;102,25% CDI;LCI/LCA 81.8% CDI
CDB;AGIBANK;R$ 1.000,00;9,96%;R$ 1.099,65;BBB+ FITCH;365 dias;No ;CDI + 0,7%;LCI/LCA 0.58% CDI
CDB;BANCO INDUSTRIAL DO BRASIL;R$ 1.000,00;21,63%;R$ 1.216,30;A+ MOODYS;733 dias;;CDI + 0,7%;LCI/LCA 0.59% CDI
CDB;PARANA BANCO;R$ 1.000,00;33,60%;R$ 1.336,01;AA+ S&P;1080 dias;;102,25% CDI;LCI/LCA 86.91% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;34,19%;R$ 1.341,86;AAA S&P;1095 dias;;102,25% CDI;LCI/LCA 86.91% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;40,48%;R$ 1.404,78;BBB S&P;1261 dias;;CDI + 0,7%;LCI/LCA 0.59% CDI
CRI;MITRE;R$ 1.028,59;49,15%;R$ 1.534,11;Sem Rating;1295 dias;No ;CDI + 0,7%;CDB CDI + 0.82%
CRA;MARFRIG;R$ 1.032,43;65,45%;R$ 1.708,18;Sem Rating;1632 dias;No ;CDI + 0,7%;CDB CDI + 0.82%
CRI;LOG;R$ 1.048,64;62,81%;R$ 1.707,30;Sem Rating;1582 dias;No ;CDI + 0,7%;CDB CDI + 0.82%
Debênture;LOCALIZA;R$ 1.134,49;102,80%;R$ 2.300,75;Sem Rating;2574 dias;No ;IPCA +7,1%;LCI/LCA IPCA + 6.03%
CRA;VAMOS;R$ 1.182,65;93,74%;R$ 2.291,29;Sem Rating;2150 dias;No ;CDI + 0,7%;CDB CDI + 0.82%
CRA;VAMOS;R$ 1.183,70;93,57%;R$ 2.291,29;Sem Rating;2148 dias;No ;CDI + 0,7%;CDB CDI + 0.82%
CDB;BANCO BR PARTNERS;R$ 5.000,00;10,01%;R$ 5.500,30;A- FITCH;366 dias;;CDI + 0,7%;LCI/LCA 0.58% CDI
CDB;PORTO SEGURO;R$ 10.000,00;9,96%;R$ 10.996,46;Sem Rating;365 dias;;CDI + 0,7%;LCI/LCA 0.58% CDI
LF;BANCO PAN;R$ 52.499,62;78,65%;R$ 93.792,36;Sem Rating;2128 dias;No ;CDI + 0,7%;LCI/LCA 0.59% CDI
LF;BANCO PAN;R$ 52.546,60;78,51%;R$ 93.799,41;AAA S&P;2126 dias;No ;CDI + 0,7%;LCI/LCA 0.59% CDI
LF;BANCO PAN;R$ 52.609,78;43,95%;R$ 75.730,84;Sem Rating;1351 dias;No ;CDI + 0,7%;LCI/LCA 0.59% CDI
LF;BANCO PAN;R$ 52.656,86;43,83%;R$ 75.737,90;AAA S&P;1349 dias;No ;CDI + 0,7%;LCI/LCA 0.59% CDI
LF;BANCO PAN;R$ 53.337,98;76,26%;R$ 94.011,48;Sem Rating;2080 dias;No ;CDI + 0,7%;LCI/LCA 0.59% CDI
LF;BANCO PAN;R$ 53.385,70;76,11%;R$ 94.018,64;AAA S&P;2078 dias;No ;CDI + 0,7%;LCI/LCA 0.59% CDI
LF;BANCO HAITONG;R$ 54.624,04;26,61%;R$ 69.157,38;AAA S&P;881 dias;No ;CDI + 0,7%;LCI/LCA 0.59% CDI
LFSN;BANCO ABC BRASIL;R$ 839.625,87;33,92%;R$ 1.124.449,56;AAA FITCH;1090 dias;No ;CDI + 0,7%;LCI/LCA 0.59% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;4,63%;R$ 1.046,32;BBB S&P;181 dias;;106,5% CDI;LCI/LCA 85.2% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;4,63%;R$ 1.046,32;BBB S&P;181 dias;No ;106,5% CDI;LCI/LCA 85.2% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;4,63%;R$ 1.046,32;BBB S&P;181 dias;;106,5% CDI;LCI/LCA 85.2% CDI
CDB;BANCO NBC;R$ 1.000,00;21,56%;R$ 1.215,60;AAA FITCH;730 dias;No ;106,5% CDI;LCI/LCA 90.52% CDI
CDB;BANCO BMG;R$ 1.000,00;27,29%;R$ 1.272,87;A- FITCH;901 dias;;11,92%PRÉ;LCI/LCA 10.13% PRÉ
CDB;BANCO NBC;R$ 1.000,00;34,15%;R$ 1.341,51;AAA FITCH;1095 dias;No ;106,5% CDI;LCI/LCA 90.52% CDI
CDB;CARUANA FINANCEIRA;R$ 5.000,00;4,63%;R$ 5.231,62;BBB S&P;181 dias;;106,5% CDI;LCI/LCA 85.2% CDI
CDB;BANCO PAN;R$ 5.000,00;21,23%;R$ 6.061,35;AAA S&P;721 dias;;106,5% CDI;LCI/LCA 90.52% CDI
CDB;BANCO BR PARTNERS;R$ 5.000,00;21,23%;R$ 6.061,35;A- FITCH;721 dias;;106,5% CDI;LCI/LCA 90.52% CDI
CDB;BANCO BR PARTNERS;R$ 5.000,00;21,51%;R$ 6.075,60;A- FITCH;729 dias;;106,5% CDI;LCI/LCA 90.52% CDI
CDB;BANCO BR PARTNERS;R$ 5.000,00;21,61%;R$ 6.080,36;A- FITCH;733 dias;;106,5% CDI;LCI/LCA 90.52% CDI
CDB;BANCO DESENV. MG;R$ 10.000,00;10,00%;R$ 10.999,66;Sem Rating;366 dias;;CDI + 0,69%;LCI/LCA 0.57% CDI
CDB;BANCO BR PARTNERS;R$ 10.000,00;21,61%;R$ 12.160,73;A- FITCH;731 dias;;106,5% CDI;LCI/LCA 90.52% CDI
LF;BANCO XP;R$ 50.000,00;21,56%;R$ 60.779,83;AA FITCH;730 dias;No ;106,5% CDI;LCI/LCA 90.52% CDI
LF;BANCO DAYCOVAL;R$ 50.000,00;63,91%;R$ 81.953,21;AA FITCH;1825 dias;No ;106,5% CDI;LCI/LCA 90.52% CDI
LF;BANCO DAYCOVAL;R$ 50.000,00;81,65%;R$ 90.825,19;AA FITCH;2190 dias;No ;106,5% CDI;LCI/LCA 90.52% CDI
CDB;BANCO PINE;R$ 1.000,00;9,90%;R$ 1.099,05;BB+ FITCH;364 dias;;IPCA +7,08%;LCI/LCA IPCA + 5.84%
CDB;BANCO PINE;R$ 1.000,00;9,99%;R$ 1.099,87;BB+ FITCH;366 dias;;IPCA +7,08%;LCI/LCA IPCA + 5.84%
CDB;BANCO PINE;R$ 1.000,00;10,03%;R$ 1.100,28;BB+ FITCH;367 dias;;IPCA +7,08%;LCI/LCA IPCA + 5.84%
CDB;BANCO PINE;R$ 1.000,00;21,59%;R$ 1.215,87;Sem Rating;733 dias;;IPCA +7,08%;LCI/LCA IPCA + 6.02%
CDB;BANCO NBC;R$ 1.000,00;34,12%;R$ 1.341,25;AAA FITCH;1097 dias;;106,43% CDI;LCI/LCA 90.47% CDI
CDB;BANCO PINE;R$ 500,00;34,05%;R$ 670,23;BB+ FITCH;1096 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO BS2;R$ 1.000,00;2,10%;R$ 1.021,02;BBB FITCH;90 dias;;102,0% CDI;LCI/LCA 79.05% CDI
CDB;C6 BANK;R$ 1.000,00;2,17%;R$ 1.021,73;A- S&P;92 dias;;102,0% CDI;LCI/LCA 79.05% CDI
CDB;BANCO INDUSTRIAL DO BRASIL;R$ 1.000,00;4,47%;R$ 1.044,74;A+ MOODYS;181 dias;;102,0% CDI;LCI/LCA 81.6% CDI
CDB;BANCO ABC BRASIL;R$ 1.000,00;9,44%;R$ 1.094,37;AAA FITCH;360 dias;;102,0% CDI;LCI/LCA 81.6% CDI
CDB;PARANA BANCO;R$ 1.000,00;21,19%;R$ 1.211,90;AA+ S&P;721 dias;;102,0% CDI;LCI/LCA 86.7% CDI
CDB;BANCO VOITER;R$ 1.000,00;27,19%;R$ 1.271,87;Sem Rating;900 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;ZEMA FINANCEIRA;R$ 1.000,00;33,57%;R$ 1.335,69;Sem Rating;1083 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO BMG;R$ 1,00;40,31%;R$ 1,40;B+ FITCH;1260 dias;No ;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO PINE;R$ 1.000,00;48,33%;R$ 1.483,32;Sem Rating;1463 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO C6 CONSIGNADO;R$ 1.000,00;63,87%;R$ 1.638,66;Sem Rating;1826 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO C6 CONSIGNADO;R$ 1.000,00;63,87%;R$ 1.638,66;Sem Rating;1826 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO C6 CONSIGNADO;R$ 1.000,00;63,87%;R$ 1.638,66;Sem Rating;1826 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO PINE;R$ 1.000,00;63,87%;R$ 1.638,66;Sem Rating;1826 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;C6 BANK;R$ 1.000,00;63,93%;R$ 1.639,32;A- S&P;1827 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO FIBRA;R$ 1.000,00;101,40%;R$ 2.014,04;B+ FITCH;2557 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO FIBRA;R$ 1.000,00;123,49%;R$ 2.234,93;B+ FITCH;2920 dias;No ;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CRA;FS BIO;R$ 1.057,08;102,47%;R$ 2.140,22;Sem Rating;2300 dias;;11,90%PRÉ;CDB 14.0%
CRA;FS BIO;R$ 1.057,08;102,47%;R$ 2.140,22;Sem Rating;2300 dias;;11,90%PRÉ;CDB 14.0%
CRA;FS BIO;R$ 1.057,08;102,47%;R$ 2.140,22;Sem Rating;2300 dias;;11,90%PRÉ;CDB 14.0%
CDB;BANCO GUANABARA;R$ 5.000,00;4,47%;R$ 5.223,70;Sem Rating;181 dias;;102,0% CDI;LCI/LCA 81.6% CDI
CDB;BANCO ALFA;R$ 5.000,00;21,57%;R$ 6.078,46;AA+ MOODYS;731 dias;;102,0% CDI;LCI/LCA 86.7% CDI
CDB;BANCO VOLKSWAGEN;R$ 10.000,00;9,86%;R$ 10.985,56;AAA S&P;365 dias;;102,0% CDI;LCI/LCA 84.15% CDI
CDB;BANCO RENDIMENTO;R$ 10.000,00;9,90%;R$ 10.989,68;A FITCH;366 dias;;102,0% CDI;LCI/LCA 84.15% CDI
CDB;BANCO FIBRA;R$ 10.000,00;14,89%;R$ 11.489,02;B+ FITCH;541 dias;;102,0% CDI;LCI/LCA 84.15% CDI
CDB;BANCO FIBRA;R$ 10.000,00;71,21%;R$ 17.121,45;BBB+ FITCH;1981 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO FIBRA;R$ 10.000,00;81,65%;R$ 18.165,49;B+ FITCH;2192 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
CDB;BANCO FIBRA;R$ 10.000,00;81,65%;R$ 18.165,49;B+ FITCH;2192 dias;;11,90%PRÉ;LCI/LCA 10.12% PRÉ
Debênture;IGUATEMI;R$ 20.045,00;7,15%;R$ 21.478,84;AA+ FITCH;277 dias;;102,0% CDI;LCI/LCA 81.6% CDI
Debênture;IGUATEMI;R$ 20.083,00;7,15%;R$ 21.519,56;AA+ FITCH;277 dias;;102,0% CDI;LCI/LCA 81.6% CDI
CDB;BANCO ORIGINAL;R$ 1.000,00;33,48%;R$ 1.334,85;BB+ FITCH;1080 dias;;11,89%PRÉ;LCI/LCA 10.11% PRÉ
CDB;BANCO BTG PACTUAL;R$ 1.000,00;34,00%;R$ 1.340,04;AAA S&P;1096 dias;;106,25% CDI;LCI/LCA 90.31% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;34,00%;R$ 1.340,04;AAA S&P;1096 dias;;106,25% CDI;LCI/LCA 90.31% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;34,00%;R$ 1.340,04;AAA S&P;1096 dias;;106,25% CDI;LCI/LCA 90.31% CDI
CDB;BANCO NBC;R$ 1.000,00;48,27%;R$ 1.482,68;AAA FITCH;1460 dias;No ;106,25% CDI;LCI/LCA 90.31% CDI
CDB;BANCO NBC;R$ 1.000,00;63,71%;R$ 1.637,11;AAA FITCH;1825 dias;No ;106,25% CDI;LCI/LCA 90.31% CDI
CDB;BANCO NBC;R$ 1.000,00;81,39%;R$ 1.813,87;AAA FITCH;2190 dias;No ;106,25% CDI;LCI/LCA 90.31% CDI
CDB;BANCO OMNI;R$ 5.000,00;33,48%;R$ 6.674,24;A S&P;1080 dias;;11,89%PRÉ;LCI/LCA 10.11% PRÉ
CDB;BANCO DESENV. MG;R$ 10.000,00;63,90%;R$ 16.389,69;Sem Rating;1827 dias;;CDI + 0,67%;LCI/LCA 0.57% CDI
CDB;BANCO BMG;R$ 1.000,00;33,51%;R$ 1.335,06;A- FITCH;1083 dias;;11,88%PRÉ;LCI/LCA 10.1% PRÉ
CDB;BANCO BMG;R$ 1.000,00;40,24%;R$ 1.402,37;B+ FITCH;1260 dias;;11,88%PRÉ;LCI/LCA 10.1% PRÉ
CDB;BANCO BMG;R$ 1.000,00;40,24%;R$ 1.402,37;B+ FITCH;1260 dias;;11,88%PRÉ;LCI/LCA 10.1% PRÉ
CDB;BANCO BMG;R$ 1.000,00;40,24%;R$ 1.402,37;B+ FITCH;1260 dias;;11,88%PRÉ;LCI/LCA 10.1% PRÉ
CDB;BANCO BMG;R$ 1.000,00;40,91%;R$ 1.409,08;B+ FITCH;1278 dias;;11,88%PRÉ;LCI/LCA 0.0% PRÉ
CDB;BANCO BMG;R$ 10.000,00;33,45%;R$ 13.345,36;B+ FITCH;1080 dias;;11,88%PRÉ;LCI/LCA 10.1% PRÉ
CDB;BANCO DESENV. MG;R$ 10.000,00;55,82%;R$ 15.582,32;Sem Rating;1643 dias;;CDI + 0,66%;LCI/LCA 0.56% CDI
CRI;SCHERER;R$ 893,33;103,98%;R$ 1.822,24;Sem Rating;2329 dias;No ;IPCA +7,05%;CDB 8.29%
CDB;BANCO PAN;R$ 1.000,00;2,10%;R$ 1.020,97;AAA S&P;90 dias;;101,75% CDI;LCI/LCA 78.86% CDI
CDB;BANCO PINE;R$ 1.000,00;10,00%;R$ 1.100,02;Sem Rating;371 dias;;IPCA +7,05%;LCI/LCA IPCA + 5.82%
CDB;BANCO VOITER;R$ 1.000,00;21,15%;R$ 1.211,48;Sem Rating;721 dias;;IPCA +7,05%;LCI/LCA IPCA + 5.99%
CDB;BANCO BTG PACTUAL;R$ 1.000,00;21,51%;R$ 1.215,10;AAA S&P;731 dias;;101,75% CDI;LCI/LCA 86.49% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;27,17%;R$ 1.271,69;BBB S&P;901 dias;;CDI + 0,65%;LCI/LCA 0.55% CDI
CDB;BANCO MASTER;R$ 1.000,00;63,76%;R$ 1.637,62;Sem Rating;1825 dias;No ;IPCA +7,05%;LCI/LCA IPCA + 5.99%
CRI;HAVAN;R$ 1.023,67;42,40%;R$ 1.457,73;Sem Rating;1153 dias;;CDI + 0,65%;CDB CDI + 0.76%
CRI;HAVAN;R$ 1.023,67;42,40%;R$ 1.457,73;Sem Rating;1153 dias;;CDI + 0,65%;CDB CDI + 0.76%
CRI;HAVAN;R$ 1.023,67;42,40%;R$ 1.457,73;Sem Rating;1153 dias;;CDI + 0,65%;CDB CDI + 0.76%
CRA;BRF;R$ 1.032,31;46,00%;R$ 1.507,14;AAA S&P;1232 dias;;CDI + 0,65%;CDB CDI + 0.76%
CRA;BRF;R$ 1.032,31;46,00%;R$ 1.507,14;AAA S&P;1232 dias;;CDI + 0,65%;CDB CDI + 0.76%
CRA;BRF;R$ 1.032,31;46,00%;R$ 1.507,14;AAA S&P;1232 dias;;CDI + 0,65%;CDB CDI + 0.76%
CDB;BANCO BV;R$ 10.000,00;4,29%;R$ 10.428,90;AA MOODYS;178 dias;;101,8% CDI;LCI/LCA 78.89% CDI
CDB;BANCO DESENV. MG;R$ 10.000,00;48,20%;R$ 14.820,03;Sem Rating;1463 dias;;CDI + 0,65%;LCI/LCA 0.55% CDI
CRI;VIRGO SECURITIZADORA;R$ 10.260,46;53,05%;R$ 15.703,84;Sem Rating;1386 dias;;CDI + 0,65%;LCI/LCA CDI + 0.76%
CRI;VIRGO SECURITIZADORA;R$ 10.939,61;96,21%;R$ 21.464,86;Sem Rating;2203 dias;;CDI + 0,65%;LCI/LCA CDI + 0.76%
CDB;PAGBANK;R$ 100,00;4,61%;R$ 104,61;Sem Rating;181 dias;No ;106,0% CDI;LCI/LCA 84.8% CDI
CDB;PAGBANK;R$ 100,00;4,61%;R$ 104,61;Sem Rating;181 dias;No ;106,0% CDI;LCI/LCA 84.8% CDI
CDB;PAGBANK;R$ 1,00;9,91%;R$ 1,10;Sem Rating;365 dias;No ;106,0% CDI;LCI/LCA 87.45% CDI
CDB;NUBANK;R$ 1,00;14,93%;R$ 1,15;Sem Rating;540 dias;No ;106,0% CDI;LCI/LCA 87.45% CDI
CDB;C6 BANK;R$ 1.000,00;4,43%;R$ 1.044,30;A- S&P;180 dias;;106,0% CDI;LCI/LCA 82.15% CDI
CDB;PAGBANK;R$ 1.000,00;4,61%;R$ 1.046,10;Sem Rating;181 dias;;106,0% CDI;LCI/LCA 84.8% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;4,61%;R$ 1.046,10;BBB S&P;181 dias;;106,0% CDI;LCI/LCA 84.8% CDI
CDB;C6 CONSIGNADO;R$ 1.000,00;4,61%;R$ 1.046,10;Sem Rating;181 dias;;106,0% CDI;LCI/LCA 84.8% CDI
CDB;BANCO INDUSTRIAL DO BRASIL;R$ 1.000,00;6,44%;R$ 1.064,35;A+ MOODYS;249 dias;;106,0% CDI;LCI/LCA 84.8% CDI
CDB;BANCO PAULISTA;R$ 1.000,00;9,82%;R$ 1.098,23;BB+ S&P;363 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO MERCANTIL;R$ 1.000,00;9,91%;R$ 1.099,05;BBB+ S&P;365 dias;No ;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO INDUSTRIAL DO BRASIL;R$ 1.000,00;9,91%;R$ 1.099,05;A+ MOODYS;365 dias;No ;106,0% CDI;LCI/LCA 87.45% CDI
CDB;REALIZE FINANCEIRA;R$ 1.000,00;9,91%;R$ 1.099,05;Sem Rating;365 dias;No ;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO TOPAZIO;R$ 1.000,00;9,95%;R$ 1.099,46;Sem Rating;366 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO MERCANTIL;R$ 1.000,00;9,95%;R$ 1.099,46;BBB+ S&P;370 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO MERCANTIL;R$ 1.000,00;9,95%;R$ 1.099,46;BBB+ S&P;370 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO MERCANTIL;R$ 1.000,00;9,95%;R$ 1.099,46;BBB+ S&P;370 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;NUBANK;R$ 1.000,00;14,93%;R$ 1.149,26;Sem Rating;540 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;NUBANK;R$ 1.000,00;15,14%;R$ 1.151,43;Sem Rating;547 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO OMNI;R$ 1.000,00;21,12%;R$ 1.211,21;A S&P;721 dias;;11,86%PRÉ;LCI/LCA 10.08% PRÉ
CDB;BANCO RENDIMENTO;R$ 1.000,00;21,45%;R$ 1.214,47;A FITCH;730 dias;No ;106,0% CDI;LCI/LCA 90.1% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;27,58%;R$ 1.275,81;AAA S&P;914 dias;;106,0% CDI;LCI/LCA 90.1% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;27,58%;R$ 1.275,81;AAA S&P;914 dias;;106,0% CDI;LCI/LCA 90.1% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;27,58%;R$ 1.275,81;AAA S&P;914 dias;;106,0% CDI;LCI/LCA 90.1% CDI
CDB;BANCO RCI;R$ 1.000,00;33,96%;R$ 1.339,62;Sem Rating;1095 dias;No ;106,0% CDI;LCI/LCA 90.1% CDI
CDB;BANCO XP;R$ 1.000,00;33,96%;R$ 1.339,62;AA FITCH;1095 dias;No ;106,0% CDI;LCI/LCA 90.1% CDI
CDB;BANCO XP;R$ 1.000,00;48,13%;R$ 1.481,27;AA FITCH;1460 dias;No ;106,0% CDI;LCI/LCA 90.1% CDI
CDB;BANCO PAN;R$ 1.000,00;62,53%;R$ 1.625,28;AAA S&P;1800 dias;;106,0% CDI;LCI/LCA 90.1% CDI
CDB;BANCO XP;R$ 1.000,00;63,52%;R$ 1.635,15;AA FITCH;1825 dias;No ;106,0% CDI;LCI/LCA 90.1% CDI
CDB;C6 BANK;R$ 5.000,00;4,61%;R$ 5.230,50;A- S&P;181 dias;;106,0% CDI;LCI/LCA 84.8% CDI
CDB;BANCO SEMEAR;R$ 5.000,00;9,74%;R$ 5.487,05;BBB AUSTIN;361 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO BR PARTNERS;R$ 5.000,00;9,74%;R$ 5.487,05;A- FITCH;361 dias;;106,0% CDI;LCI/LCA 87.45% CDI
CDB;BANCO DIGIMAIS;R$ 5.000,00;9,78%;R$ 5.489,10;BBB- FITCH;362 dias;;106,0% CDI;LCI/LCA 87.45% CDI
