produto;instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
CDB;BANCO MASTER DE INVESTIME;R$ 1.018,70;74,96%;R$ 1.782,31;Sem Rating;1713 dias;No ;127,74% CDI;LCI/LCA 108.58% CDI
CDB;BANCO MASTER;R$ 1.166,96;76,64%;R$ 2.061,37;BBB- FITCH;1741 dias;No ;127,8% CDI;LCI/LCA 108.63% CDI
CDB;BANCO MASTER;R$ 1.169,27;76,38%;R$ 2.062,31;BBB- FITCH;1736 dias;No ;127,79% CDI;LCI/LCA 108.62% CDI
CDB;BANCO MASTER;R$ 1.175,67;75,22%;R$ 2.059,97;BBB- FITCH;1716 dias;No ;127,74% CDI;LCI/LCA 108.58% CDI
CDB;BANCO MASTER;R$ 1.224,92;73,90%;R$ 2.130,08;BBB- FITCH;1694 dias;No ;127,69% CDI;LCI/LCA 108.54% CDI
CDB;BANCO MASTER;R$ 1.226,57;73,72%;R$ 2.130,76;BBB- FITCH;1692 dias;No ;127,68% CDI;LCI/LCA 108.53% CDI
CDB;BANCO MASTER;R$ 1.229,00;73,54%;R$ 2.132,80;BBB- FITCH;1687 dias;No ;127,67% CDI;LCI/LCA 108.52% CDI
CDB;BANCO MASTER;R$ 1.239,67;72,32%;R$ 2.136,17;BBB- FITCH;1667 dias;No ;127,62% CDI;LCI/LCA 108.48% CDI
CDB;BANCO MASTER;R$ 1.240,47;72,23%;R$ 2.136,51;BBB- FITCH;1666 dias;No ;127,62% CDI;LCI/LCA 108.48% CDI
Debênture;CSN MINERACAO;R$ 995,47;75,03%;R$ 1.742,41;AAA S&P;1716 dias;;CDI + 2,95%;LCI/LCA CDI + 2.51%
Debênture;CSN MINERACAO;R$ 995,47;75,03%;R$ 1.742,41;AAA S&P;1716 dias;;CDI + 2,95%;LCI/LCA CDI + 2.51%
Debênture;CSN MINERACAO;R$ 995,47;75,03%;R$ 1.742,41;AAA S&P;1716 dias;;CDI + 2,95%;LCI/LCA CDI + 2.51%
CDB;BANCO MASTER;R$ 1.081,66;65,00%;R$ 1.784,80;BBB- FITCH;1545 dias;No ;127,27% CDI;LCI/LCA 108.18% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;80,87%;R$ 1.808,71;Sem Rating;1825 dias;No ;127,0% CDI;LCI/LCA 107.95% CDI
CDB;BANCO MASTER;R$ 1.009,02;74,71%;R$ 1.762,91;Sem Rating;1719 dias;;127,0% CDI;LCI/LCA 107.95% CDI
CDB;BANCO MASTER;R$ 1.181,88;74,29%;R$ 2.059,90;BBB FITCH;1712 dias;;127,0% CDI;LCI/LCA 107.95% CDI
CRI;RÔGGA;R$ 1.001,76;73,64%;R$ 1.739,46;Sem Rating;1512 dias;No ;CDI + 2,8%;CDB CDI + 3.29%
CRI;RÔGGA;R$ 1.002,82;73,46%;R$ 1.739,46;Sem Rating;1510 dias;No ;CDI + 2,8%;CDB CDI + 3.29%
Debênture;SIMPAR;R$ 1.044,91;127,51%;R$ 2.377,30;Sem Rating;2515 dias;No ;CDI + 2,8%;LCI/LCA CDI + 2.38%
Debênture;SIMPAR;R$ 1.046,02;127,29%;R$ 2.377,48;Sem Rating;2513 dias;No ;CDI + 2,8%;LCI/LCA CDI + 2.38%
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;59,88%;R$ 1.598,84;Sem Rating;1460 dias;No ;126,0% CDI;LCI/LCA 107.1% CDI
Debênture;SIMPAR S.A.;R$ 1.045,05;188,22%;R$ 3.012,01;Sem Rating;3217 dias;;CDI + 2,75%;LCI/LCA CDI + 2.34%
Debênture;SIMPAR S.A.;R$ 1.045,05;188,22%;R$ 3.012,01;Sem Rating;3217 dias;;CDI + 2,75%;LCI/LCA CDI + 2.34%
Debênture;SIMPAR S.A.;R$ 1.045,05;188,22%;R$ 3.012,01;Sem Rating;3217 dias;;CDI + 2,75%;LCI/LCA CDI + 2.34%
CDB;WILLBANK;R$ 1.000,00;58,21%;R$ 1.582,08;Sem Rating;1438 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;BANCO MASTER;R$ 1.230,28;48,32%;R$ 1.824,70;BBB- FITCH;1238 dias;No ;125,64% CDI;LCI/LCA 106.79% CDI
FIDC;CREDITAS;R$ 673,35;52,44%;R$ 1.026,48;Sem Rating;1325 dias;No ;CDI + 2,7%;LCI/LCA 2.29% CDI
CRA;MADERO;R$ 874,44;49,45%;R$ 1.306,84;Sem Rating;1110 dias;;CDI + 2,7%;CDB CDI + 3.18%
CRA;MADERO;R$ 874,44;49,45%;R$ 1.306,84;Sem Rating;1110 dias;;CDI + 2,7%;CDB CDI + 3.18%
CRA;MADERO;R$ 874,44;49,45%;R$ 1.306,84;Sem Rating;1110 dias;;CDI + 2,7%;CDB CDI + 3.18%
Debênture;ENVIRONMENTAL ESG;R$ 1.041,84;97,51%;R$ 2.057,78;Sem Rating;2114 dias;No ;CDI + 2,7%;LCI/LCA CDI + 2.29%
Debênture;ENVIRONMENTAL ESG;R$ 1.042,94;97,32%;R$ 2.057,95;Sem Rating;2112 dias;No ;CDI + 2,7%;LCI/LCA CDI + 2.29%
CDB;WILLBANK;R$ 1.000,00;40,66%;R$ 1.406,60;Sem Rating;1080 dias;;120,0% CDI;LCI/LCA 102.0% CDI
CDB;NEON FINANCEIRA;R$ 1.000,00;79,39%;R$ 1.793,90;Sem Rating;1827 dias;;120,0% CDI;LCI/LCA 102.0% CDI
CDB;WILLBANK;R$ 1.000,00;77,85%;R$ 1.778,49;Sem Rating;1800 dias;;125,0% CDI;LCI/LCA 106.25% CDI
RDB;WILLBANK;R$ 1.000,00;77,85%;R$ 1.778,49;Sem Rating;1800 dias;;125,0% CDI;LCI/LCA 106.25% CDI
CDB;WILLBANK;R$ 1.000,00;25,73%;R$ 1.257,26;Sem Rating;730 dias;;119,5% CDI;LCI/LCA 101.58% CDI
CRA;ASA;R$ 1.001,51;70,28%;R$ 1.705,40;Sem Rating;1479 dias;No ;CDI + 2,6%;CDB CDI + 3.06%
