Player;Season;Club;Comp;App;GS;Ass;MoM;AvP;YC;RC;Position
Vinícius JÚNIOR;6;Atlanta United;Divisão 1;22 (0);5;15;5;7.73;5;1;AM(L),F(LC)
Vinícius JÚNIOR;5;Santos FC;Divisão 1;28 (0);6;15;3;7.54;3;1;AM(L),F(LC)
Vinícius JÚNIOR;4;Flamengo;Divisão 1;26 (1);7;7;2;6.78;3;0;AM(L),F(LC)
Vinícius JÚNIOR;3;Flamengo;Divisão 1;1 (0);0;0;0;7.00;1;0;AM(L),F(LC)
Vinícius JÚNIOR;3;Corinthians;Divisão 1;17 (6);4;3;0;6.78;3;1;AM(L),F(LC)
Vinícius JÚNIOR;2;Atlanta United;Divisão 1;26 (0);8;7;3;7.08;5;0;AM(L),F(LC)
Vinícius JÚNIOR;1;Atlanta United;Divisão 1;21 (0);10;13;4;7.62;4;0;AM(L),F(LC)
Rúben DIAS;3;Atlanta United;Divisão 1;26 (0);0;4;0;7.04;1;1;D(C)
Rúben DIAS;2;Atlanta United;Divisão 1;27 (0);1;0;1;6.89;4;0;D(C)
Rúben DIAS;1;Atlanta United;Divisão 1;19 (0);0;0;0;7.00;1;0;D(C)
Antoine GRIEZMANN;9;River Plate;Divisão 1;20 (1);9;1;5;7.38;2;0;AM,F(RLC)
Antoine GRIEZMANN;8;River Plate;Divisão 1;21 (1);7;5;5;7.32;5;0;AM,F(RLC)
Antonio RÜDIGER;7;Independiente;Divisão 1;20 (4);1;2;1;7.04;3;1;D(RC)
John STONES;3;Boca Juniors;Divisão 2;9 (0);1;0;0;7.11;1;1;D(RC),DM(C)
Leroy SANÈ;11;Independiente;Divisão 1;0 (0);0;0;0;0.00;0;0;AM(RLC),F(RL)
Leroy SANÈ;10;Independiente;Divisão 1;23 (0);4;9;5;7.39;3;0;AM(RLC),F(RL)
Leroy SANÈ;9;Independiente;Divisão 2;29 (0);16;22;9;8.17;3;0;AM(RLC),F(RL)
Leroy SANÈ;7;São Paulo FC;Divisão 1;27 (0);4;10;5;7.30;1;0;AM(RLC),F(RL)
Martin ODEGAARD;9;São Paulo FC;Divisão 1;24 (0);12;8;3;7.67;6;1;M,AM(C)
Martin ODEGAARD;8;Tigres UANL;Divisão 1;20 (0);4;1;2;7.15;3;0;M,AM(C)
Martin ODEGAARD;7;Tigres UANL;Divisão 2;20 (0);7;8;1;7.90;4;0;M,AM(C)
Martin ODEGAARD;6;River Plate;Divisão 1;27 (0);5;4;2;7.37;3;0;M,AM(C)
Martin ODEGAARD;5;River Plate;Divisão 1;25 (0);3;5;2;7.12;3;0;M,AM(C)
Martin ODEGAARD;4;River Plate;Divisão 1;24 (1);7;3;2;7.12;6;1;M,AM(C)
Martin ODEGAARD;3;Palmeiras;Divisão 1;17 (0);0;6;0;6.53;0;0;M,AM(C)
Martin ODEGAARD;2;Palmeiras;Divisão 2;21 (0);8;7;1;7.90;3;0;M,AM(C)
Martin ODEGAARD;1;Palmeiras;Divisão 2;22 (0);5;5;2;7.32;1;0;M,AM(C)
Nicolò BARELLA;9;Pachuca;Divisão 2;14 (0);2;2;0;6.50;1;0;DM,M,AM(C)
Nicolò BARELLA;8;Colo-Colo;Divisão 2;19 (0);6;2;2;7.79;1;1;DM,M,AM(C)
Lautaro MARTÍNEZ;9;Atlanta United;Divisão 1;26 (0);14;5;7;7.50;2;1;F(C)
Lautaro MARTÍNEZ;7;Vélez Sársfield;Divisão 2;11 (0);3;5;5;7.82;2;0;F(C)
Víctor OSIMHEN;9;Cruz Azul;Divisão 2;19 (0);5;9;6;7.95;3;0;F(C)
Víctor OSIMHEN;8;Vélez Sársfield;Divisão 2;14 (1);9;5;5;8.00;0;0;F(C)
Víctor OSIMHEN;7;Peñarol;Divisão 2;23 (1);15;8;3;8.04;6;1;F(C)
Víctor OSIMHEN;6;Peñarol;Divisão 2;18 (0);11;8;5;7.94;2;0;F(C)
Víctor OSIMHEN;5;Nacional;Divisão 2;18 (0);5;4;1;6.39;2;0;F(C)
Víctor OSIMHEN;4;Cruz Azul;Divisão 2;17 (0);3;3;1;5.82;2;0;F(C)
Víctor OSIMHEN;3;Cruz Azul;Divisão 2;28 (0);10;6;4;7.71;1;0;F(C)
Víctor OSIMHEN;2;Independiente;Divisão 1;20 (0);3;1;0;6.45;2;0;F(C)
Phil FODEN;7;Corinthians;Divisão 2;24 (0);13;3;6;8.33;0;1;M(C),AM,F(RLC)
Phil FODEN;6;Corinthians;Divisão 2;28 (1);7;4;2;7.14;3;1;M(C),AM,F(RLC)
Phil FODEN;5;Corinthians;Divisão 1;28 (0);4;5;3;6.96;1;0;M(C),AM,F(RLC)
Phil FODEN;4;Corinthians;Divisão 1;25 (0);1;0;0;6.48;5;1;M(C),AM,F(RLC)
Phil FODEN;3;Flamengo;Divisão 1;27 (1);4;1;1;6.86;3;1;M(C),AM,F(RLC)
Phil FODEN;2;Flamengo;Divisão 2;8 (2);5;1;2;7.60;0;0;M(C),AM,F(RLC)
Phil FODEN;1;Flamengo;Divisão 2;7 (0);2;1;0;7.14;3;0;M(C),AM,F(RLC)
Declan RICE;11;Peñarol;Divisão 2;17 (1);6;0;3;7.22;1;0;DM,M(C)
Declan RICE;10;Orlando City SC;Divisão 1;21 (0);5;2;3;7.29;4;0;DM,M(C)
Declan RICE;9;Orlando City SC;Divisão 2;24 (0);1;0;0;6.71;1;0;DM,M(C)
Declan RICE;5;Palmeiras;Divisão 1;25 (0);3;1;2;7.04;4;0;DM,M(C)
Declan RICE;4;Palmeiras;Divisão 1;24 (0);0;2;0;6.21;3;0;DM,M(C)
Declan RICE;2;Corinthians;Divisão 1;13 (0);2;0;1;6.69;4;0;DM,M(C)
Rafael LEÃO;9;Estudiantes de LP;Divisão 2;21 (0);6;13;3;7.76;1;1;AM(L),F(LC)
Rafael LEÃO;8;Palmeiras;Divisão 1;26 (0);16;5;9;7.50;2;0;AM(L),F(LC)
Rafael LEÃO;7;Atlanta United;Divisão 1;24 (0);5;11;3;7.42;5;0;AM(L),F(LC)
Rafael LEÃO;6;Flamengo;Divisão 1;29 (0);13;7;3;7.21;3;0;AM(L),F(LC)
Rafael LEÃO;5;Flamengo;Divisão 1;13 (0);4;2;1;6.62;6;0;AM(L),F(LC)
Rafael LEÃO;5;Vasco da Gama;Divisão 2;10 (0);1;5;1;6.80;2;0;AM(L),F(LC)
Rafael LEÃO;4;Vasco da Gama;Divisão 2;26 (0);19;9;3;7.50;3;2;AM(L),F(LC)
Rafael LEÃO;3;Atlanta United;Divisão 1;24 (1);4;3;1;6.20;2;0;AM(L),F(LC)
Rafael LEÃO;2;Corinthians;Divisão 1;16 (10);4;5;3;7.04;3;0;AM(L),F(LC)
Rafael LEÃO;1;Independiente;Divisão 1;2 (5);0;0;0;6.71;0;0;AM(L),F(LC)
Goes RODRYGO;11;Grêmio;Divisão 1;23 (0);1;1;1;7.17;6;1;AM(RL),F(RLC)
Goes RODRYGO;10;Cruz Azul;Divisão 2;26 (0);7;5;4;7.42;3;0;AM(RL),F(RLC)
Goes RODRYGO;9;Grêmio;Divisão 1;23 (0);8;8;2;7.57;1;0;AM(RL),F(RLC)
Goes RODRYGO;8;Grêmio;Divisão 1;25 (0);3;4;2;7.04;3;1;AM(RL),F(RLC)
Goes RODRYGO;7;São Paulo FC;Divisão 1;28 (0);6;4;1;6.71;5;0;AM(RL),F(RLC)
Goes RODRYGO;6;Santos FC;Divisão 1;26 (0);3;4;1;6.58;4;1;AM(RL),F(RLC)
Goes RODRYGO;5;Santos FC;Divisão 1;6 (7);0;1;0;6.77;2;0;AM(RL),F(RLC)
Goes RODRYGO;4;Santos FC;Divisão 2;11 (7);9;8;1;7.78;1;1;AM(RL),F(RLC)
Goes RODRYGO;3;Palmeiras;Divisão 1;13 (0);2;3;1;6.38;1;3;AM(RL),F(RLC)
Goes RODRYGO;2;Palmeiras;Divisão 2;2 (4);1;7;0;7.67;0;1;AM(RL),F(RLC)
Goes RODRYGO;2;Corinthians;Divisão 1;8 (5);1;1;0;6.77;1;1;AM(RL),F(RLC)
Goes RODRYGO;1;Corinthians;Divisão 1;17 (5);2;4;0;6.68;0;0;AM(RL),F(RLC)
Éder MILITÃO;8;Santos FC;Divisão 1;29 (0);0;2;0;7.07;3;0;D(RC)
Éder MILITÃO;6;Universidad de Chile;Divisão 1;19 (0);0;0;0;6.95;2;0;D(RC)
Éder MILITÃO;4;Grêmio;Divisão 1;24 (0);1;0;0;6.33;4;0;D(RC)
Éder MILITÃO;3;Vélez Sársfield;Divisão 2;20 (0);0;0;0;5.90;4;0;D(RC)
Éder MILITÃO;2;Corinthians;Divisão 1;12 (0);0;0;0;6.58;1;1;D(RC)
Bukayo SAKA;9;Vasco da Gama;Divisão 2;20 (0);10;8;8;7.80;5;0;M,AM,F(RL)
Bukayo SAKA;8;Lanús;Divisão 1;26 (1);1;3;0;6.89;4;0;M,AM,F(RL)
Bukayo SAKA;7;Corinthians;Divisão 2;25 (0);11;12;6;8.20;2;1;M,AM,F(RL)
Bukayo SAKA;6;Corinthians;Divisão 2;26 (1);6;3;2;7.19;3;0;M,AM,F(RL)
Bukayo SAKA;5;Corinthians;Divisão 1;29 (0);1;1;0;6.03;4;0;M,AM,F(RL)
Bukayo SAKA;4;Corinthians;Divisão 1;26 (1);0;0;0;5.89;2;1;M,AM,F(RL)
Bukayo SAKA;3;Tigres UANL;Divisão 1;28 (0);3;6;0;6.46;6;0;M,AM,F(RL)
Bukayo SAKA;2;Tigres UANL;Divisão 1;9 (0);2;2;1;6.56;1;0;M,AM,F(RL)
James MADDISON;11;SC Internacional;Divisão 2;20 (0);4;5;1;7.55;4;0;M(C),AM(RLC)
James MADDISON;11;Universidad de Chile;Divisão 2;3 (0);0;0;0;7.00;1;0;M(C),AM(RLC)
James MADDISON;10;Universidad de Chile;Divisão 2;27 (0);6;6;3;7.11;5;1;M(C),AM(RLC)
James MADDISON;9;São Paulo FC;Divisão 1;19 (0);2;4;0;6.95;5;1;M(C),AM(RLC)
James MADDISON;3;Atlético Mineiro;Divisão 1;19 (1);1;2;1;6.60;3;2;M(C),AM(RLC)
James MADDISON;2;Tigres UANL;Divisão 1;14 (1);2;5;2;7.07;2;1;M(C),AM(RLC)
James MADDISON;1;Tigres UANL;Divisão 2;17 (0);5;4;0;7.47;1;0;M(C),AM(RLC)
Diogo JOTA;11;Atlanta United;Divisão 1;0 (0);0;0;0;0.00;0;0;AM,F(RLC)
Diogo JOTA;11;Santos FC;Divisão 2;12 (0);5;2;2;7.17;0;2;AM,F(RLC)
Diogo JOTA;10;D.C. United;Divisão 2;29 (0);6;10;2;7.52;5;0;AM,F(RLC)
Diogo JOTA;9;Tigres UANL;Divisão 1;30 (0);2;8;0;7.00;2;0;AM,F(RLC)
Diogo JOTA;7;Flamengo;Divisão 1;22 (1);14;6;10;7.78;4;0;AM,F(RLC)
Diogo JOTA;5;Grêmio;Divisão 1;25 (0);7;6;3;7.48;4;0;AM,F(RLC)
Diogo JOTA;4;Santos FC;Divisão 2;27 (0);8;17;6;8.00;5;0;AM,F(RLC)
Diogo JOTA;3;Santos FC;Divisão 1;29 (0);12;13;7;7.34;2;0;AM,F(RLC)
Diogo JOTA;2;Monterrey;Divisão 1;19 (0);8;2;0;6.74;2;1;AM,F(RLC)
Diogo JOTA;2;Independiente;Divisão 1;1 (0);0;0;0;6.00;0;0;AM,F(RLC)
Diogo JOTA;1;Independiente;Divisão 1;27 (0);6;6;2;6.85;4;2;AM,F(RLC)
Gabriel JESUS;11;Cruzeiro;Divisão 1;0 (0);0;0;0;0.00;0;0;AM(RL),F(RLC)
Gabriel JESUS;11;Nacional;Divisão 1;28 (0);5;12;5;7.29;2;0;AM(RL),F(RLC)
Gabriel JESUS;10;Nacional;Divisão 2;16 (0);7;2;2;7.44;3;0;AM(RL),F(RLC)
Gabriel JESUS;9;Vélez Sársfield;Divisão 2;24 (0);14;8;9;7.96;2;1;AM(RL),F(RLC)
Gabriel JESUS;8;Atlanta United;Divisão 2;18 (0);8;9;3;8.22;4;0;AM(RL),F(RLC)
Gabriel JESUS;7;D.C. United;Divisão 1;28 (1);11;6;4;7.55;5;0;AM(RL),F(RLC)
Gianluigi DONNARUMMA;8;Independiente;Divisão 1;30 (0);0;0;4;6.63;0;0;GK
Dayot UPAMECANO;6;Santos FC;Divisão 1;27 (0);1;0;0;6.63;4;0;D(C)
Dayot UPAMECANO;5;Santos FC;Divisão 1;14 (0);3;1;1;6.64;1;1;D(C)
Dayot UPAMECANO;4;Flamengo;Divisão 1;26 (0);0;0;0;6.81;1;0;D(C)
Dayot UPAMECANO;3;Flamengo;Divisão 1;26 (1);0;0;0;6.52;2;0;D(C)
Dayot UPAMECANO;1;Santos FC;Divisão 2;26 (0);8;2;2;6.46;3;1;D(C)
Ousmane DEMBÉLÉ;11;São Paulo FC;Divisão 2;0 (0);0;0;0;0.00;0;0;AM(RL),F(RLC)
Ousmane DEMBÉLÉ;11;Vasco da Gama;Divisão 1;27 (0);9;10;4;7.48;4;0;AM(RL),F(RLC)
Ousmane DEMBÉLÉ;10;Vasco da Gama;Divisão 1;17 (1);10;6;6;7.56;0;1;AM(RL),F(RLC)
Ousmane DEMBÉLÉ;9;Cruzeiro;Divisão 1;24 (1);2;6;0;7.12;0;1;AM(RL),F(RLC)
Ousmane DEMBÉLÉ;7;San Lorenzo;Divisão 1;14 (0);2;3;1;7.07;3;1;AM(RL),F(RLC)
Ousmane DEMBÉLÉ;6;Boca Juniors;Divisão 2;25 (0);9;8;4;8.04;1;0;AM(RL),F(RLC)
Ousmane DEMBÉLÉ;5;Estudiantes de LP;Divisão 2;17 (0);2;2;0;6.29;1;0;AM(RL),F(RLC)
Ousmane DEMBÉLÉ;4;Estudiantes de LP;Divisão 1;13 (4);3;1;1;6.88;2;0;AM(RL),F(RLC)
Marcus RASHFORD;11;Nacional;Divisão 1;0 (0);0;0;0;0.00;0;0;AM(RL),F(RLC)
Marcus RASHFORD;8;Monterrey;Divisão 2;24 (1);18;15;9;7.92;3;0;AM(RL),F(RLC)
Mikel OYARZABAL;11;Peñarol;Divisão 2;0 (0);0;0;0;0.00;0;0;AM,F(RLC)
Mikel OYARZABAL;11;Orlando City SC;Divisão 1;20 (0);4;8;0;7.00;4;0;AM,F(RLC)
Mikel OYARZABAL;10;Pachuca;Divisão 2;22 (3);6;6;1;7.08;2;0;AM,F(RLC)
Mikel OYARZABAL;9;Universidad de Chile;Divisão 2;26 (0);4;18;3;7.50;3;0;AM,F(RLC)
Mikel OYARZABAL;8;Universidad de Chile;Divisão 2;28 (0);10;20;4;8.25;4;1;AM,F(RLC)
Mikel OYARZABAL;7;Universidad de Chile;Divisão 2;28 (0);22;26;11;8.71;5;0;AM,F(RLC)
Theo HERNÁNDEZ;11;Club América;Divisão 1;0 (0);0;0;0;0.00;0;0;D(LC),DM,M(L)
Theo HERNÁNDEZ;9;Santos FC;Divisão 1;23 (0);1;0;1;6.65;6;0;D(LC),DM,M(L)
Theo HERNÁNDEZ;3;Santos FC;Divisão 1;27 (1);0;6;0;6.57;4;0;D(LC),DM,M(L)
Theo HERNÁNDEZ;2;Palmeiras;Divisão 2;1 (0);0;0;0;8.00;1;0;D(LC),DM,M(L)
Theo HERNÁNDEZ;1;Palmeiras;Divisão 2;12 (0);0;1;0;6.92;5;0;D(LC),DM,M(L)
Alphonso DAVIES;11;Santos FC;Divisão 2;0 (0);0;0;0;0.00;0;0;D,DM,M,AM(L)
Alphonso DAVIES;11;Pachuca;Divisão 2;28 (0);11;10;4;7.32;4;0;D,DM,M,AM(L)
Alphonso DAVIES;10;Santos FC;Divisão 2;26 (0);2;0;1;6.73;10;0;D,DM,M,AM(L)
Alphonso DAVIES;9;SC Internacional;Divisão 1;18 (0);4;4;1;7.28;2;1;D,DM,M,AM(L)
Alphonso DAVIES;8;Cruzeiro;Divisão 1;27 (0);6;11;3;7.44;2;0;D,DM,M,AM(L)
Alphonso DAVIES;7;Cruzeiro;Divisão 1;22 (1);5;16;6;7.70;2;0;D,DM,M,AM(L)
Alphonso DAVIES;1;Flamengo;Divisão 2;21 (0);1;1;0;6.86;0;0;D,DM,M,AM(L)
Christopher NKUNKU;11;Cruz Azul;Divisão 2;0 (0);0;0;0;0.00;0;0;AM,F(RLC)
Christopher NKUNKU;11;Estudiantes de LP;Divisão 1;26 (0);8;17;6;7.77;4;0;AM,F(RLC)
Christopher NKUNKU;10;Estudiantes de LP;Divisão 2;25 (0);13;14;8;7.96;5;0;AM,F(RLC)
Christopher NKUNKU;9;Monterrey;Divisão 1;25 (0);5;2;1;6.96;6;0;AM,F(RLC)
Christopher NKUNKU;8;São Paulo FC;Divisão 2;27 (0);7;16;5;8.11;7;0;AM,F(RLC)
Christopher NKUNKU;7;Atlanta United;Divisão 1;22 (0);5;0;2;6.91;4;1;AM,F(RLC)
Achraf HAKIMI;11;D.C. United;Divisão 2;25 (1);0;1;0;6.92;3;0;D,DM,M(RL)
Achraf HAKIMI;9;Peñarol;Divisão 1;16 (3);2;6;2;7.21;2;1;D,DM,M(RL)
Achraf HAKIMI;8;Peñarol;Divisão 1;27 (0);4;8;3;7.37;5;0;D,DM,M(RL)
Achraf HAKIMI;7;Peñarol;Divisão 2;24 (1);5;13;3;8.12;4;0;D,DM,M(RL)
Cristian ROMERO;11;Colo-Colo;Divisão 1;14 (0);0;1;0;6.71;1;1;D(C)
Cristian ROMERO;10;Colo-Colo;Divisão 1;14 (0);1;0;0;6.71;0;0;D(C)
Cristian ROMERO;8;Tigres UANL;Divisão 1;17 (0);0;0;0;6.41;2;1;D(C)
Cristian ROMERO;6;São Paulo FC;Divisão 1;23 (0);2;0;1;6.43;3;0;D(C)
Cristian ROMERO;5;Toronto FC;Divisão 2;13 (0);1;0;0;6.46;2;0;D(C)
Cristian ROMERO;4;Toronto FC;Divisão 2;1 (0);0;0;0;7.00;0;0;D(C)
Cristian ROMERO;4;Atlanta United;Divisão 2;22 (0);3;2;2;6.73;4;0;D(C)
Cristian ROMERO;3;Atlanta United;Divisão 1;27 (0);0;1;0;6.33;1;0;D(C)
Cristian ROMERO;2;Monterrey;Divisão 1;12 (0);0;0;0;6.17;0;0;D(C)
Federico CHIESA;11;Independiente;Divisão 1;22 (1);7;7;2;7.39;3;0;AM,F(RLC)
Federico CHIESA;10;Cruzeiro;Divisão 1;21 (0);3;18;2;7.67;2;1;AM,F(RLC)
Federico CHIESA;9;Grêmio;Divisão 1;26 (0);8;6;6;7.54;4;0;AM,F(RLC)
Federico CHIESA;7;Grêmio;Divisão 1;25 (0);4;9;3;7.52;1;1;AM,F(RLC)
Federico CHIESA;4;Tigres UANL;Divisão 1;23 (1);5;4;5;7.08;4;0;AM,F(RLC)
Federico CHIESA;3;Tigres UANL;Divisão 1;29 (0);5;5;3;6.83;5;0;AM,F(RLC)
Federico CHIESA;2;Tigres UANL;Divisão 1;16 (2);4;3;2;7.28;2;0;AM,F(RLC)
Federico CHIESA;1;Tigres UANL;Divisão 2;16 (0);3;4;0;7.31;0;1;AM,F(RLC)
Matthijs DE LIGT;11;Tigres UANL;Divisão 1;16 (0);0;0;1;7.00;0;1;D(C)
Matthijs DE LIGT;10;Tigres UANL;Divisão 1;27 (0);2;0;2;6.96;1;0;D(C)
Matthijs DE LIGT;7;River Plate;Divisão 1;24 (0);2;2;2;7.17;4;1;D(C)
Alessandro BASTONI;11;Universidad de Chile;Divisão 2;0 (0);0;0;0;0.00;0;0;D(C)
Alessandro BASTONI;10;Grêmio;Divisão 1;23 (0);0;1;0;6.91;2;0;D(C)
Alessandro BASTONI;7;Tigres UANL;Divisão 2;20 (0);5;0;2;7.65;2;0;D(C)
Alessandro BASTONI;5;Palmeiras;Divisão 1;26 (0);0;0;0;6.27;3;1;D(C)
Alessandro BASTONI;2;Corinthians;Divisão 1;21 (1);1;0;1;6.55;4;0;D(C)
Alessandro BASTONI;1;Santos FC;Divisão 2;21 (0);2;0;0;6.33;1;0;D(C)
Gabriel MAGALHÃES;11;Orlando City SC;Divisão 1;24 (0);0;0;0;7.00;1;0;D(C)
Gabriel MAGALHÃES;10;Orlando City SC;Divisão 1;23 (0);1;0;0;6.52;0;0;D(C)
Gabriel MAGALHÃES;9;Atlanta United;Divisão 1;27 (0);1;0;0;6.41;3;0;D(C)
Gabriel MAGALHÃES;8;Independiente;Divisão 1;17 (1);0;3;0;6.33;2;0;D(C)
Gabriel MAGALHÃES;7;Independiente;Divisão 1;24 (0);1;0;0;6.54;0;0;D(C)
Gabriel MAGALHÃES;6;Palmeiras;Divisão 1;29 (0);2;1;0;6.34;7;0;D(C)
Gabriel MAGALHÃES;5;Palmeiras;Divisão 1;11 (0);1;2;1;6.36;0;1;D(C)
Gabriel MAGALHÃES;4;D.C. United;Divisão 1;27 (0);1;1;0;5.89;3;0;D(C)
Gabriel MAGALHÃES;3;Atlanta United;Divisão 1;13 (0);0;0;0;5.92;1;0;D(C)
Gabriel MAGALHÃES;2;Atlanta United;Divisão 1;11 (0);0;0;0;6.18;1;0;D(C)
Gabriel MAGALHÃES;1;Atlanta United;Divisão 1;18 (0);0;0;0;6.44;2;0;D(C)
Min-Jae KIM;11;SC Internacional;Divisão 2;29 (0);2;1;0;6.93;2;0;D(C)
Min-Jae KIM;10;Corinthians;Divisão 1;28 (0);1;1;2;6.86;6;0;D(C)
Min-Jae KIM;9;Corinthians;Divisão 1;27 (0);2;0;0;6.33;2;0;D(C)
Min-Jae KIM;8;Corinthians;Divisão 1;16 (2);0;0;0;6.11;2;0;D(C)
Min-Jae KIM;7;Corinthians;Divisão 2;13 (0);3;0;0;7.08;1;0;D(C)
Bruno GUIMARÃES;11;Pachuca;Divisão 2;0 (0);0;0;0;0.00;0;0;DM,M(C)
Bruno GUIMARÃES;11;São Paulo FC;Divisão 2;25 (0);1;0;1;6.80;6;0;DM,M(C)
Bruno GUIMARÃES;11;Boca Juniors;Divisão 2;0 (0);0;0;0;0.00;0;0;DM,M(C)
Bruno GUIMARÃES;10;Boca Juniors;Divisão 2;27 (0);3;1;2;6.63;11;0;DM,M(C)
Bruno GUIMARÃES;9;Boca Juniors;Divisão 2;14 (0);4;1;2;7.14;1;3;DM,M(C)
Bruno GUIMARÃES;8;Boca Juniors;Divisão 2;24 (0);2;1;1;7.25;4;1;DM,M(C)
Bruno GUIMARÃES;7;Palmeiras;Divisão 1;27 (0);5;0;1;6.63;6;1;DM,M(C)
Bruno GUIMARÃES;6;Palmeiras;Divisão 1;27 (0);4;2;1;6.63;3;0;DM,M(C)
Bruno GUIMARÃES;5;São Paulo FC;Divisão 1;24 (0);0;0;0;6.04;4;0;DM,M(C)
Bruno GUIMARÃES;4;Universidad de Chile;Divisão 2;29 (0);3;1;0;6.72;1;0;DM,M(C)
Bruno GUIMARÃES;3;Independiente;Divisão 1;13 (0);1;3;1;6.62;1;0;DM,M(C)
Bruno GUIMARÃES;2;Flamengo;Divisão 2;22 (0);3;1;0;7.14;4;1;DM,M(C)
Bruno GUIMARÃES;1;Flamengo;Divisão 2;21 (0);5;3;0;6.71;4;0;DM,M(C)
Ronald ARAÚJO;11;Vasco da Gama;Divisão 1;0 (0);0;0;0;0.00;0;0;D(RC)
Ronald ARAÚJO;11;Club América;Divisão 1;22 (0);0;0;0;6.82;2;0;D(RC)
Ronald ARAÚJO;9;Palmeiras;Divisão 1;27 (0);2;0;1;6.59;5;2;D(RC)
Ronald ARAÚJO;8;Palmeiras;Divisão 1;30 (0);0;2;0;6.40;3;0;D(RC)
Ronald ARAÚJO;7;Atlanta United;Divisão 1;9 (0);0;0;0;6.56;2;0;D(RC)
Ronald ARAÚJO;6;Atlanta United;Divisão 1;20 (0);3;3;0;6.55;3;1;D(RC)
Ronald ARAÚJO;5;Club América;Divisão 1;25 (0);0;2;0;6.24;3;0;D(RC)
Ronald ARAÚJO;4;Club América;Divisão 1;19 (0);0;0;0;6.16;3;0;D(RC)
Ronald ARAÚJO;3;Club América;Divisão 2;7 (0);1;1;0;6.71;1;0;D(RC)
Jules KOUNDÉ;11;Toronto FC;Divisão 2;10 (0);2;0;1;6.90;2;1;D(RC)
Jules KOUNDÉ;10;Toronto FC;Divisão 2;22 (0);0;0;0;6.64;2;1;D(RC)
Khvicha KVARATSKHELIA;11;Vélez Sársfield;Divisão 1;0 (0);0;0;0;0.00;0;0;AM(LC),F(L)
Khvicha KVARATSKHELIA;11;Colo-Colo;Divisão 1;12 (0);2;4;0;7.25;3;0;AM(LC),F(L)
Khvicha KVARATSKHELIA;10;Atlanta United;Divisão 1;21 (0);3;15;4;7.43;1;0;AM(LC),F(L)
Khvicha KVARATSKHELIA;9;Atlanta United;Divisão 1;26 (0);6;10;3;7.08;3;1;AM(LC),F(L)
Khvicha KVARATSKHELIA;8;Atlanta United;Divisão 2;10 (0);8;9;2;8.20;1;0;AM(LC),F(L)
Khvicha KVARATSKHELIA;8;Orlando City SC;Divisão 2;13 (0);7;7;0;7.62;2;0;AM(LC),F(L)
Khvicha KVARATSKHELIA;5;Toronto FC;Divisão 2;6 (0);1;1;0;5.50;0;0;AM(LC),F(L)
Luis DÍAZ;11;Estudiantes de LP;Divisão 1;0 (0);0;0;0;0.00;0;0;AM,F(RL)
Luis DÍAZ;11;Palmeiras;Divisão 1;30 (0);4;13;4;7.47;4;0;AM,F(RL)
Luis DÍAZ;10;Monterrey;Divisão 1;27 (0);2;3;1;7.19;7;0;AM,F(RL)
Luis DÍAZ;9;Palmeiras;Divisão 1;22 (0);9;11;4;7.73;2;0;AM,F(RL)
Luis DÍAZ;7;Colo-Colo;Divisão 1;24 (0);5;3;2;7.25;6;0;AM,F(RL)
Luis DÍAZ;6;Boca Juniors;Divisão 2;24 (0);10;13;5;8.00;3;1;AM,F(RL)
Luis DÍAZ;5;Atlanta United;Divisão 1;29 (0);5;9;4;7.10;7;0;AM,F(RL)
Luis DÍAZ;4;Atlanta United;Divisão 2;9 (1);7;1;2;7.20;2;0;AM,F(RL)
Luis DÍAZ;4;San Lorenzo;Divisão 2;7 (0);5;2;2;7.14;1;0;AM,F(RL)
Luis DÍAZ;3;San Lorenzo;Divisão 2;11 (0);7;9;2;8.36;0;0;AM,F(RL)
Luis DÍAZ;2;Orlando City SC;Divisão 1;10 (0);1;0;0;6.20;0;0;AM,F(RL)
Aurélien TCHOUAMENI;11;Colo-Colo;Divisão 1;0 (0);0;0;0;0.00;0;0;D,DM,M(C)
Aurélien TCHOUAMENI;11;Lanús;Divisão 2;27 (0);2;3;1;6.70;1;0;D,DM,M(C)
Aurélien TCHOUAMENI;10;Peñarol;Divisão 1;20 (1);4;1;2;7.10;3;1;D,DM,M(C)
Aurélien TCHOUAMENI;9;Boca Juniors;Divisão 2;20 (0);0;1;0;6.80;5;1;D,DM,M(C)
Aurélien TCHOUAMENI;7;Colo-Colo;Divisão 1;20 (0);7;0;2;7.00;1;1;D,DM,M(C)
Aurélien TCHOUAMENI;6;Atlanta United;Divisão 1;23 (0);0;0;1;6.74;5;1;D,DM,M(C)
Aurélien TCHOUAMENI;5;Atlanta United;Divisão 1;11 (0);0;0;0;6.09;2;1;D,DM,M(C)
Aurélien TCHOUAMENI;5;Flamengo;Divisão 1;10 (0);0;2;0;6.20;0;0;D,DM,M(C)
Aurélien TCHOUAMENI;4;Flamengo;Divisão 1;25 (0);2;0;0;6.32;0;1;D,DM,M(C)
Aurélien TCHOUAMENI;3;Flamengo;Divisão 1;13 (0);2;0;0;6.23;1;0;D,DM,M(C)
Reece JAMES;11;Barcelona SC;Divisão 2;27 (0);1;1;1;7.07;2;0;D(RC),DM,M(R)
Reece JAMES;10;Barcelona SC;Divisão 2;16 (0);0;0;0;6.81;0;0;D(RC),DM,M(R)
